country,year,gdp_per_capita
RO,2013,6860
RO,2014,7160
RO,2015,7420
RO,2016,7680
RO,2017,8360
RO,2018,8910
RO,2019,9300
RO,2020,9000
RO,2021,9600
RO,2022,10040
RS,2000,2650
RS,2001,2840
RS,2002,3020
RS,2003,3160
RS,2004,3460
RS,2005,3660
RS,2006,3860
RS,2007,4130
RS,2008,4380
RS,2009,4280
RS,2010,4330
RS,2011,4450
RS,2012,4440
RS,2013,4590
RS,2014,4540
RS,2015,4640
RS,2016,4820
RS,2017,4950
RS,2018,5200
RS,2019,5460
RS,2020,5440
RS,2021,5920
RS,2022,6230
SE,2000,33960
SE,2001,34360
SE,2002,35000
SE,2003,35680
SE,2004,37080
SE,2005,37990
SE,2006,39540
SE,2007,40590
SE,2008,40100
SE,2009,38030
SE,2010,39950
SE,2011,40920
SE,2012,40380
SE,2013,40510
SE,2014,41180
SE,2015,42580
SE,2016,42920
SE,2017,43430
SE,2018,43760
SE,2019,44180
SE,2020,42910
SE,2021,45280
SE,2022,46280
SI,2000,13980
SI,2001,14410
SI,2002,14900
SI,2003,15330
SI,2004,15990
SI,2005,16570
SI,2006,17460
SI,2007,18570
SI,2008,19190
SI,2009,17570
SI,2010,17750
SI,2011,17870
SI,2012,17360
SI,2013,17160
SI,2014,17620
SI,2015,17990
SI,2016,18550
SI,2017,19440
SI,2018,20240
SI,2019,20780
SI,2020,19770
SI,2021,21350
SI,2022,21860
SK,2000,7780
SK,2001,8060
SK,2002,8430
SK,2003,8890
SK,2004,9360
SK,2005,9970
SK,2006,10800
SK,2007,11960
SK,2008,12610
SK,2009,11890
SK,2010,12660
SK,2011,13080
SK,2012,13230
SK,2013,13300
SK,2014,13640
SK,2015,14340
SK,2016,14590
SK,2017,15000
SK,2018,15580
SK,2019,15960
SK,2020,15400
SK,2021,16200
SK,2022,16340
TR,2000,6130
TR,2001,5700
TR,2002,5990
TR,2003,6260
TR,2004,6790
TR,2005,7310
TR,2006,7720
TR,2007,8010
TR,2008,7980
TR,2009,7490
TR,2010,8000
TR,2011,8760
TR,2012,9070
TR,2013,9710
TR,2014,10050
TR,2015,10520
TR,2016,10730
TR,2017,11380
TR,2018,11570
TR,2019,11500
TR,2020,11600
TR,2021,12810
TR,2022,13380
UK,2000,27130
UK,2001,27770
UK,2002,28250
UK,2003,29060
UK,2004,29560
UK,2005,30210
UK,2006,30810
UK,2007,31280
UK,2008,30940
UK,2009,29460
UK,2010,29830
UK,2011,29960
UK,2012,30190
UK,2013,30660
UK,2014,31290
UK,2015,31780
UK,2016,32060
UK,2017,32430
UK,2018,32640
UK,2019,32910
